,Model,Sharpe,Return,Std
216,mw_0.4_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_Historical,0.0,0.0,0.0007430783775869981
217,mw_0.6000000000000001_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_Historical,0.0,0.0,0.0007430783775869981
218,mw_0.8_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_Historical,0.0,0.0,0.0007430783775869981
219,mw_1.0_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_Historical,0.0,0.0,0.0007430783775869981
211,mw_0.4_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_Historical,0.0,0.0,0.0022496776526192814
206,mw_0.4_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_Historical,0.0,0.0,0.002080032732137813
205,mw_0.2_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_Historical,0.0,0.0,0.0019496714331567859
200,mw_0.2_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_Historical,0.0,0.0,0.0023835082262749024
199,mw_1.0_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_ARIMA-GARCH,0.0,0.0,0.0026449438107625425
210,mw_0.2_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_Historical,0.0,0.0,0.00241018751276909
